Feature ID,GP Count,GP-SVM Count,GP-RF Count,FEATURE index
F_0,1,3,0,0
F_1,0,0,0,1
F_2,0,0,0,2
F_3,0,0,1,3
F_4,1,1,2,4
F_5,2,0,1,5
F_6,4,6,4,6
F_7,0,0,1,7
F_8,0,0,0,8
F_9,2,3,4,9
F_10,0,1,0,10
F_11,5,8,13,11
F_12,4,6,5,12
F_13,1,1,0,13
F_14,1,0,1,14
F_15,19,14,13,15
F_16,1,0,0,16
F_17,1,0,0,17
F_18,2,0,0,18
F_19,4,4,4,19
F_20,0,0,0,20
F_21,1,1,0,21
F_22,0,0,0,22
F_23,2,4,2,23
F_24,5,3,1,24
F_25,1,2,0,25
F_26,2,1,2,26
F_27,1,2,0,27
F_28,1,4,2,28
F_29,4,6,10,29
F_30,0,2,1,30
F_31,1,0,2,31
F_32,2,2,0,32
F_33,1,1,0,33
F_34,1,0,2,34
F_35,0,0,0,35
F_36,0,2,0,36
F_37,1,1,0,37
F_38,0,0,3,38
F_39,1,1,0,39
F_40,0,1,1,40
F_41,0,0,2,41
F_42,0,0,0,42
F_43,1,0,1,43
F_44,0,1,1,44
F_45,1,1,0,45
F_46,0,2,2,46
F_47,0,0,0,47
F_48,0,1,0,48
F_49,1,3,0,49
F_50,0,1,0,50
F_51,2,5,1,51
F_52,0,0,1,52
F_53,0,0,1,53
F_54,0,0,0,54
F_55,1,0,0,55
F_56,1,3,1,56
F_57,1,0,0,57
F_58,2,3,0,58
F_59,3,4,5,59
F_60,2,1,0,60
F_61,3,4,3,61
F_62,1,1,1,62
F_63,1,1,0,63
F_64,2,2,5,64
F_65,1,0,0,65
F_66,0,0,0,66
F_67,0,0,1,67
F_68,3,2,0,68
F_69,0,1,0,69
F_70,1,0,1,70
F_71,1,1,2,71
F_72,2,1,0,72
F_73,1,1,0,73
F_74,1,0,0,74
F_75,0,0,0,75
F_76,0,1,0,76
F_77,0,0,1,77
F_78,0,0,0,78
F_79,0,1,4,79
F_80,0,0,0,80
F_81,0,0,2,81
F_82,0,0,0,82
F_83,0,1,0,83
F_84,1,0,0,84
F_85,0,1,2,85
F_86,0,1,0,86
F_87,0,0,0,87
F_88,0,0,0,88
F_89,0,0,0,89
F_90,5,4,3,90
F_91,4,2,3,91
F_92,2,0,2,92
F_93,2,1,2,93
F_94,9,5,5,94
F_95,0,0,3,95
F_96,0,0,2,96
F_97,4,4,7,97
F_98,1,1,0,98
F_99,1,0,0,99
F_100,0,0,1,100
F_101,1,0,2,101
F_102,1,1,1,102
F_103,0,0,0,103
F_104,1,0,2,104
F_105,0,0,0,105
F_106,2,1,2,106
F_107,1,1,1,107
F_108,0,1,0,108
F_109,1,1,0,109
F_110,0,1,0,110
F_111,0,0,0,111
F_112,0,0,0,112
F_113,0,1,1,113
F_114,0,1,0,114
F_115,2,1,1,115
F_116,0,0,1,116
F_117,0,0,2,117
F_118,0,0,0,118
F_119,0,1,2,119
F_120,1,0,0,120
