Feature ID,GP,GP-SVM,GP-RF,Feature Val
F_1,6,2,3,0
F_2,1,0,1,1
F_3,0,0,1,2
F_4,4,3,1,3
F_5,6,9,8,4
F_6,5,1,2,5
F_7,8,9,10,6
F_8,2,0,1,7
F_9,1,3,1,8
F_10,5,4,5,9
F_11,0,5,3,10
F_12,11,13,11,11
F_13,7,9,8,12
F_14,2,2,0,13
F_15,1,0,0,14
F_16,16,14,13,15
F_17,0,1,1,16
F_18,0,1,2,17
F_19,2,7,1,18
F_20,9,8,3,19
F_21,0,0,0,20
F_22,3,1,4,21
F_23,1,4,6,22
F_24,2,2,3,23
F_25,5,1,3,24
F_26,6,2,3,25
F_27,5,9,4,26
F_28,8,10,13,27
F_29,1,2,1,28
F_30,2,6,4,29
F_31,2,2,4,30
F_32,1,1,3,31
F_33,4,4,3,32
F_34,3,2,0,33
F_35,3,3,0,34
F_36,2,3,4,35
F_37,0,4,1,36
F_38,3,0,0,37
F_39,2,3,4,38
F_40,0,3,4,39
F_41,0,2,0,40
F_42,4,0,2,41
F_43,4,1,0,42
F_44,4,2,1,43
F_45,2,2,0,44
F_46,2,0,3,45
F_47,2,1,3,46
F_48,3,1,3,47
F_49,2,0,3,48
F_50,3,4,3,49
F_51,1,3,1,50
F_52,1,2,1,51
F_53,2,4,1,52
F_54,5,4,3,53
F_55,4,2,2,54
F_56,3,5,8,55
F_57,3,1,1,56
F_58,6,6,4,57
F_59,0,1,0,58
F_60,8,9,6,59
F_61,11,13,13,60
F_62,2,1,0,61
F_63,2,2,2,62
F_64,0,3,0,63
F_65,1,1,1,64
F_66,12,7,13,65
F_67,1,0,4,66
F_68,0,1,1,67
F_69,8,10,11,68
F_70,10,10,7,69
F_71,0,2,2,70
F_72,0,0,1,71
F_73,1,2,1,72
F_74,9,17,13,73
F_75,3,6,4,74
F_76,3,1,1,75
F_77,2,4,3,76
F_78,10,5,3,77
